"Source:","C:\Users\Harshitha\Documents\GitHub\ElectricalDesigns\Experiments\LED_COMBINED_MOLEX_CONN\pro1\pro1.kicad_sch"
"Date:","28-05-2024 16:56:56"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Users\Harshitha\AppData\Local\Programs\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","30"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2","2","100nf","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor","",""
"C3, C4, C5, C7, C8, C9","6","10uf","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor","",""
"C6","1","100uf","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor","",""
"D1","1","LED","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Light emitting diode","",""
"D2, D3","2","1N4007","1N4007","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1000V 1A General Purpose Rectifier Diode, DO-41","",""
"H1, H2, H3, H4","4","MountingHole","MountingHole","MountingHole:MountingHole_4.3mm_M4","Mounting Hole without connection","",""
"J2, J3","2","Conn_01x07","Conn_01x07","Connector_JST:JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical","Generic connector, single row, 01x07, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J5","1","Conn_01x02","Conn_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"R1","1","15K","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor","",""
"R2, R3, R4, R5","4","15k","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor","",""
"R6","1","1K","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor","",""
"R7","1","0R","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor","",""
"U1","1","ESP32-WROOM-32D","ESP32-WROOM-32D","RF_Module:ESP32-WROOM-32D","RF Module, ESP32-D0WD SoC, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 2.7-3.6V, onboard antenna, SMD","",""
"U2","1","AMS1117-3.3","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223","",""
"U3","1","LM7805_TO220","LM7805_TO220","Package_TO_SOT_SMD:TO-263-2","Positive 1A 35V Linear Regulator, Fixed Output 5V, TO-220","",""
"U4","1","AS5600","AS5600_IC","Package_SO:MSOP-8_3x3mm_P0.65mm","100 MHz to 2.5 GHz, 80 dB Logarithmic Detector / Controller, MSOP-8","",""
