Update symbol D? from 'Device:LED' to 'Device:LED': OK
Update symbol #PWR? from 'power:+3.3V' to 'power:+3.3V': OK
Update symbol #PWR? from 'power:+5V' to 'power:+5V': OK
Update symbol R? from 'Device:R' to 'Device:R': OK
Update symbol #PWR? from 'power:GND' to 'power:GND': OK
Update symbol #PWR? from 'power:GND' to 'power:GND': OK
Update symbol #PWR? from 'power:GND' to 'power:GND': OK
Update symbol #PWR? from 'power:+3.3V' to 'power:+3.3V': OK
Update symbol C? from 'Device:C' to 'Device:C': OK
Update symbol C? from 'Device:C' to 'Device:C': OK
Update symbol C? from 'Device:C' to 'Device:C': OK
Update symbol #PWR? from 'power:+3.3V' to 'power:+3.3V': OK
Update symbol C? from 'Device:C' to 'Device:C': OK
Update symbol U? from 'RF_Module:ESP32-WROOM-32D' to 'RF_Module:ESP32-WROOM-32D': OK
Update symbol U? from 'Regulator_Linear:AMS1117-3.3' to 'Regulator_Linear:AMS1117-3.3': OK
Update symbol R? from 'Device:R' to 'Device:R': OK
Update symbol #PWR? from 'power:GND' to 'power:GND': OK
Update symbol #PWR? from 'power:GND' to 'power:GND': OK
Update symbol #PWR? from 'power:+3.3V' to 'power:+3.3V': OK
Update symbol #PWR? from 'power:+3.3V' to 'power:+3.3V': OK
Update symbol C? from 'Device:C' to 'Device:C': OK
Update symbol #PWR? from 'power:+3.3V' to 'power:+3.3V': OK
Update symbol R? from 'Device:R' to 'Device:R': OK
Update symbol J? from 'Connector:Screw_Terminal_01x01' to 'Connector:Screw_Terminal_01x01': OK
Update symbol U? from 'RF_Amplifier:AD8313xRM' to 'RF_Amplifier:AD8313xRM': OK
